scenario,transport,payload_bytes,concurrency,repetitions,source_files,throughput_messages_per_second,throughput_megabytes_per_second,p50_latency_ms,p95_latency_ms,p99_latency_ms,p95_inter_arrival_ms,inter_arrival_jitter_ms,duplicates,ordering_violations,pre_failure_throughput_msg_s,recovery_window_throughput_msg_s,post_recovery_throughput_msg_s,time_to_first_post_failure_message_ms,time_to_sustained_target_ms,throughput_debt_recovery_window_msg,recovery_window_p95_latency_ms,post_failure_duplicates,post_failure_ordering_violations,backlog_drain_ms
clean,nats-jetstream,256,4,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,20470.03794978755,4.99756785883486,359.2293745,561.1789940000001,594.944803,0.005691,0.7139140133970775,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,8,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,18883.85817876395,4.61031693817479,427.21643000000006,674.461548,736.64598,0.0055735,0.7456912116515555,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,256,16,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,20449.46303378765,4.9925446859833205,472.64045000000004,663.9916575,730.1182204999999,0.006071999999999999,0.6985675222365465,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,1024,1,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,14211.379815998149,13.8783006015607,456.345053,740.448052,779.7069935000001,0.009224,0.8708838465212828,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,1024,4,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,16786.58214138075,16.393146622442153,474.05394749999994,719.6463470000001,752.826693,0.0072625,0.8231036039297445,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,1024,8,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,17688.9445332728,17.2743598957742,467.5739625,710.3031465,739.5232255,0.0070885,0.7796798129911829,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,1024,16,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,17979.2797560009,17.557890386719652,463.67923199999996,680.9418095000001,767.6007884999999,0.0072440000000000004,0.8266268825349204,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,4096,1,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,10002.652426324614,39.072861040330494,576.083131,997.5442650000001,1046.851872,0.0231445,1.0060809122194914,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,4096,4,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,12560.9986108963,49.06640082381371,559.720944,897.3349089999999,973.5194935,0.012765000000000002,0.9391750304716024,0.0,0.0,,,,,,,,0.0,0.0,
clean,nats-jetstream,4096,8,10,rq1-extra5-no256k-20260709-synthetic-clean-summary-aggregated.csv;rq1-nats-fetchwait-20260621-synthetic-clean-summary-aggregated.csv,13286.287027427901,51.8995587008902,601.730972,848.7956735,914.2846764999998,0.011099500000000002,1.0430759848768,0.0,0.0,,,,,,,,0.0,0.0,
